Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
67,2026-07-15 11:36:00,,,,UnknownOrUserSid,,,2,1,39659,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
69,2026-07-15 12:37:00,,,,UnknownOrUserSid,,,2,1,43319,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
71,2026-07-15 13:37:00,,,,UnknownOrUserSid,,,2,1,46919,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
73,2026-07-15 14:37:00,,,,UnknownOrUserSid,,,2,1,50519,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
75,2026-07-15 15:37:00,,,,UnknownOrUserSid,,,2,1,54119,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
77,2026-07-15 16:37:00,,,,UnknownOrUserSid,,,2,1,57719,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
79,2026-07-15 17:37:00,,,,UnknownOrUserSid,,,2,1,61319,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
81,2026-07-15 18:37:00,,,,UnknownOrUserSid,,,2,1,64919,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
95,2026-07-15 19:08:00,,,,UnknownOrUserSid,,,2,1,28,2026-07-15 19:07:31,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
83,2026-07-15 19:37:00,,,,UnknownOrUserSid,,,2,1,68519,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
85,2026-07-15 20:37:00,,,,UnknownOrUserSid,,,2,1,72119,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
87,2026-07-15 21:37:00,,,,UnknownOrUserSid,,,2,1,75719,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
97,2026-07-15 21:45:00,,,,UnknownOrUserSid,,,2,1,3621,2026-07-15 20:44:38,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
89,2026-07-15 22:37:00,,,,UnknownOrUserSid,,,2,1,79319,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
99,2026-07-15 22:45:00,,,,UnknownOrUserSid,,,2,1,7221,2026-07-15 20:44:38,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
101,2026-07-15 23:32:00,,,,UnknownOrUserSid,,,2,1,10041,2026-07-15 20:44:38,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
91,2026-07-15 23:38:00,,,,UnknownOrUserSid,,,2,1,82979,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
93,2026-07-15 23:45:00,,,,UnknownOrUserSid,,,2,1,83399,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
103,2026-07-16 04:32:00,,,,UnknownOrUserSid,,,2,1,3640,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
105,2026-07-16 05:32:00,,,,UnknownOrUserSid,,,2,1,7240,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
107,2026-07-16 11:32:00,,,,UnknownOrUserSid,,,2,1,28840,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
109,2026-07-16 12:33:00,,,,UnknownOrUserSid,,,2,1,32500,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
111,2026-07-16 13:34:00,,,,UnknownOrUserSid,,,2,1,36160,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
113,2026-07-16 14:34:00,,,,UnknownOrUserSid,,,2,1,39760,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
115,2026-07-16 15:34:00,,,,UnknownOrUserSid,,,2,1,43360,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
117,2026-07-16 16:34:00,,,,UnknownOrUserSid,,,2,1,46960,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
119,2026-07-16 17:16:00,,,,UnknownOrUserSid,,,2,1,49480,2026-07-16 03:31:19,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
